id,nazwa
120,Drewicz-Warwas Sp. z o.o.
121,Fundacja Rębiś
122,Fundacja Wiewiórka Sp.j.
123,FPUH Geisler-Matynia s.c.
124,Czupryna s.c.
125,Gabinety Detka Sp.k.
126,Bartoś-Hampel Sp.k.
127,Grupa Boś-Waluk i syn s.c.
128,Grupa Buksa-Ślebioda s.c.
129,Spółdzielnia Żabierek
130,FPUH Gumieniak-Mudlaff S.A.
131,Grupa Wasążnik-Tereszkiewicz S.A.
132,Kuśnierek-Kościesza S.A.
133,PPUH Miodek Sp.k.
134,Bejnarowicz-Maciejewicz S.A.
135,Kujawiak Sp. z o.o.
136,Domek-Morcinek s.c.
137,Szelest s.c.
138,FPUH Szajna s.c.
139,Grupa Fit
140,Nestorowicz Sp.k.
141,Trzpil-Dyka Sp. z o.o. Sp.k.
142,FPUH Gruchot Sp.k.
143,Gabinety Żołna Sp. z o.o. Sp.k.
144,FPUH Krzyk Sp. z o.o.
145,FPUH Ochwat s.c.
146,Fundacja Trepczyk
147,Gabinety Pokrzywa Sp.j.
148,Jankowicz-Bors s.c.
149,Grupa Opalach s.c.
150,Lica Sp.k.
151,Fundacja Burzawa-Bystroń s.c.
152,Fedyk-Orwat i syn s.c.
153,FPUH Ćwierz s.c.
154,Gabinety Nieścior-Karol i syn s.c.
155,Gendek Sp. z o.o. Sp.k.
156,Dębniak-Dobroń s.c.
157,Gronostaj-Kujawiak Sp. z o.o. Sp.k.
158,Gabinety Kuszyk
159,Raszkiewicz Sp. z o.o. Sp.k.
160,PPUH Matejczuk-Paleń Sp.j.
161,Szpara S.A.
162,Zach-Patora Sp.j.
163,PPUH Gołofit s.c.
164,Spółdzielnia Piłka Sp. z o.o. Sp.k.
165,Szlufik s.c.
166,Antoszczyk-Leśny Sp.j.
167,Leszkiewicz-Bastek S.A.
168,FPUH Droździk
169,PPUH Ciereszko Sp. z o.o.
170,Gabinety Pasiak-Fiutak S.A.
171,Stowarzyszenie Myga-Frost i syn s.c.
172,Sabak-Hanc Sp. z o.o.
173,Witka-Słysz s.c.
174,Grupa Goj
175,Chatys S.A.
176,Spółdzielnia Ośko
177,Grupa Milej-Grzejszczak s.c.
178,Stowarzyszenie Brzeźniak i syn s.c.
179,Matyszczak-Kłósek Sp. z o.o. Sp.k.
180,PPUH Siergiej s.c.
181,FPUH Sasak s.c.
182,Matela-Owsiany Sp. z o.o. Sp.k.
183,Leoniuk Sp.j.
184,Stowarzyszenie Olszyna-Domka Sp.j.
185,FPUH Luks-Witaszek Sp. z o.o.
186,Fundacja Wożniak-Kociemba Sp.j.
187,Stowarzyszenie Długozima Sp.k.
188,PPUH Bojczuk Sp.j.
189,Grupa Roskosz Sp.k.
190,Gabinety Dzwonnik i syn s.c.
191,Łokaj Sp.j.
192,Stowarzyszenie Kudlak-Brodawka Sp. z o.o.
193,Gabinety Posłuszny Sp.k.
194,Ścieszka Sp.j.
195,Dylong i syn s.c.
196,Stowarzyszenie Supernak-Lampa Sp. z o.o.
197,Wasilewicz Sp. z o.o. Sp.k.
198,FPUH Chochół-Ziółko Sp.k.
199,Fedorczyk-Kręcichwost Sp. z o.o. Sp.k.
200,Gabinety Kordys
201,Dzienisz Sp. z o.o. Sp.k.
202,Fabiszak Sp.j.
203,Fundacja Słupek-Rozmiarek S.A.
204,Stowarzyszenie Dybiec
205,Nagel s.c.
206,Gabinety Durlak-Dykas Sp. z o.o.
207,FPUH Supeł s.c.
208,PPUH Klos Sp. z o.o. Sp.k.
209,Spółdzielnia Posłuszna Sp.k.
210,Kiełbus Sp.j.
211,FPUH Drop Sp.j.
212,PPUH Latek
213,Potęga S.A.
214,Stowarzyszenie Zielke S.A.
215,Spółdzielnia Wawrzonek-Graboń s.c.
216,Fundacja Toś-Mendyka Sp. z o.o. Sp.k.
217,Stowarzyszenie Suchta Sp.k.
218,Królikiewicz-Wiesiołek Sp. z o.o.
219,FPUH Kotlarek
220,Pasiak-Giża S.A.
221,Mendyka-Stebel S.A.
222,Skotarek-Holeksa Sp. z o.o.
223,Spółdzielnia Rusnak Sp. z o.o. Sp.k.
224,Maciejuk-Gumienny Sp.k.
225,Piwowarek-Kamyk S.A.
226,Fundacja Trepka
227,Spółdzielnia Siemek
228,PPUH Bender
229,Grupa Matejczyk Sp. z o.o.
230,Jeżyk S.A.
231,PPUH Brojek
232,Kopik-Pazdan Sp.j.
233,FPUH Osiadacz-Rzeźniczak Sp. z o.o. Sp.k.
234,FPUH Makar Sp. z o.o. Sp.k.
235,Grupa Mieszała-Zagrajek Sp. z o.o. Sp.k.
236,Gabinety Cydzik
237,Gabinety Golonko S.A.
238,Misiurek S.A.
239,PPUH Siewiera i syn s.c.
240,Spółdzielnia Rzońca i syn s.c.
241,Zinkiewicz Sp. z o.o. Sp.k.
242,Dyś Sp.j.
243,FPUH Rubaj Sp. z o.o.
244,Stowarzyszenie Polnik
245,FPUH Podeszwa Sp.j.
246,Stowarzyszenie Małota
247,Spółdzielnia Koperek
248,Pawlos-Wojnicz S.A.
249,Fundacja Henke-Babij i syn s.c.
250,Ciemięga-Maculewicz Sp. z o.o. Sp.k.
251,PPUH Wichłacz
252,Stowarzyszenie Połetek Sp. z o.o. Sp.k.
253,FPUH Zaczyk
254,Gryska-Watras i syn s.c.
255,Subocz-Swaczyna s.c.
256,Fundacja Bejnarowicz
257,Syldatk Sp.j.
258,Fundacja Kulus Sp.k.
259,Kuncewicz-Gwizdek S.A.
260,Kopij-Berus i syn s.c.
261,Gabinety Szajek
262,Stowarzyszenie Nazimek S.A.
263,Ślimak Sp.j.
264,PPUH Żabka
265,Czerepak-Szłapa Sp. z o.o. Sp.k.
266,Spółdzielnia Olbrych-Piejko i syn s.c.
267,Gabinety Andrearczyk Sp. z o.o.
268,Cyman Sp.j.
269,FPUH Wysota s.c.
270,Wiak i syn s.c.
271,Nieścior-Mosiołek Sp. z o.o. Sp.k.
272,FPUH Borak Sp.k.
273,Paleń-Cop S.A.
274,Stark-Steckiewicz Sp.j.
275,Engel-Michel s.c.
276,FPUH Hałka
277,FPUH Rej Sp. z o.o.
278,Fundacja Wizner
279,Stowarzyszenie Oczko
280,Staś S.A.
281,PPUH Pabis S.A.
282,Stowarzyszenie Feluś S.A.
283,Domek-Materka S.A.
284,Grupa Rosada-Fijak s.c.
285,FPUH Walusiak
286,Jewuła Sp.j.
287,Spółdzielnia Kałwa
288,Frydel-Kochman s.c.
289,PPUH Malewicz-Kapka i syn s.c.
290,Siudek i syn s.c.
291,Kapałka-Słoboda S.A.
292,Fundacja Matuszyk s.c.
293,Grupa Gebauer-Cofała Sp.k.
294,Ciepła-Jachna Sp.j.
295,Spółdzielnia Piotrowiak Sp. z o.o.
296,Stowarzyszenie Kałwak
297,Gabinety Kursa
298,Fundacja Draus
299,Nowotnik-Swiątek i syn s.c.
300,Kolarczyk Sp. z o.o. Sp.k.
301,Stowarzyszenie Ciuła-Malara Sp. z o.o.
302,Zagozda-Preś s.c.
303,Drobny-Dziugieł Sp. z o.o. Sp.k.
304,Stowarzyszenie Kycia-Lesisz Sp. z o.o.
305,Stowarzyszenie Dziewior
306,Walocha S.A.
307,PPUH Masny
308,PPUH Wdowczyk
309,Grupa Żołądkiewicz Sp.k.
310,Stowarzyszenie Goska
311,FPUH Nowek-Saj Sp.k.
312,Fundacja Niedbał Sp. z o.o.
313,Januchta-Pajdak S.A.
314,PPUH Kiełbik
315,FPUH Koperek-Dorociak S.A.
316,Cydzik-Maksym s.c.
317,Bacia-Pietrewicz Sp.j.
318,Fundacja Gierak-Kalarus Sp.j.
319,PPUH Rajman Sp.k.
320,Kutera-Basa Sp.j.
321,Fundacja Giers-Matyszczak Sp. z o.o.
322,FPUH Władyka
323,Mazanek-Mostek Sp. z o.o.
324,FPUH Chromy Sp. z o.o.
325,Prucnal-Szyca s.c.
326,Gabinety Fogel
327,Grupa Karczmarz-Dyrek Sp.k.
328,FPUH Kobos Sp.k.
329,Puto Sp.j.
330,Tomaszuk-Malecha Sp. z o.o. Sp.k.
331,Gronostaj Sp. z o.o.
332,PPUH Buszka S.A.
333,PPUH Stachewicz
334,Fundacja Sajnóg
335,PPUH Dziewior Sp.k.
336,Kuźnia-Macek Sp. z o.o.
337,Pacocha S.A.
338,PPUH Jałowiec-Hadała i syn s.c.
339,Sąsiadek Sp. z o.o. Sp.k.
340,Stowarzyszenie Pagacz Sp.j.
341,FPUH Breguła S.A.
342,Ziółko-Czerepak s.c.
343,Zinkiewicz Sp.j.
344,Spółdzielnia Sprycha
345,Grupa Boruń Sp.k.
346,Matura i syn s.c.
347,FPUH Szczechowicz-Głowiak i syn s.c.
348,Gabinety Pacocha-Frymus Sp. z o.o.
349,Fundacja Kultys
350,Stowarzyszenie Piątkiewicz S.A.
351,Pawlukiewicz Sp. z o.o.
352,Spółdzielnia Strzoda-Jarmuła Sp.j.
353,Niedbał Sp.k.
354,Sip-Famuła S.A.
355,PPUH Rakus S.A.
356,Wasil S.A.
357,Stowarzyszenie Dulemba Sp.k.
358,Fundacja Lorens-Krzystek Sp.j.
359,Fundacja Pilarek Sp. z o.o. Sp.k.
360,Bartocha-Cąkała S.A.
361,Spółdzielnia Warmuz Sp. z o.o.
362,Jędraszczyk Sp.j.
363,Kosiec-Glenc Sp.k.
364,PPUH Skotarczak-Kudra i syn s.c.
365,FPUH Siebert Sp. z o.o. Sp.k.
366,Grupa Czermak S.A.
367,Gabinety Chlebda-Mijas S.A.
368,Fundacja Czupryn
369,Stowarzyszenie Palus-Cheba S.A.
370,Kołodziejak-Nurek i syn s.c.
371,PPUH Janduła-Antoń Sp. z o.o.
372,PPUH Szybiak
373,Fundacja Oziębło
374,FPUH Mizia-Proć Sp. z o.o. Sp.k.
375,Grupa Ścieszka i syn s.c.
376,Kościuszko Sp. z o.o.
377,Stowarzyszenie Nitek i syn s.c.
378,PPUH Kustosz Sp. z o.o.
379,Pielka-Jasina Sp. z o.o. Sp.k.
380,Fundacja Kornek-Krzyśko Sp. z o.o. Sp.k.
381,FPUH Gemza-Wyrobek i syn s.c.
382,Rusiniak-Żelazo s.c.
383,FPUH Nojek
384,Dacko-Karczmarz S.A.
385,Pasieczna-Niklewicz s.c.
386,Tylman s.c.
387,Laszkiewicz-Zyga i syn s.c.
388,Fundacja Bazylewicz-Dziewit Sp. z o.o. Sp.k.
389,Grupa Grygorcewicz
390,PPUH Prejs
391,PPUH Turczyk S.A.
392,Górkiewicz i syn s.c.
393,Stowarzyszenie Gawliczek
394,Kwasek S.A.
395,PPUH Seta i syn s.c.
396,Fundacja Dywan-Soroko S.A.
397,Stowarzyszenie Cherek Sp. z o.o. Sp.k.
398,Leszczuk-Bełza Sp. z o.o.
399,Gabinety Aleksa
400,Drobniak-Żakiewicz Sp.j.
401,Mateusiak Sp. z o.o.
402,Grupa Jarmuż
403,Skalik-Kukuczka s.c.
404,FPUH Drózd s.c.
405,Swiątek-Cichos s.c.
406,Stowarzyszenie Salwin Sp. z o.o. Sp.k.
407,Grupa Iskierka-Błażejewicz s.c.
408,Szpyra Sp. z o.o.
409,Holeksa-Bereda S.A.
410,Gabinety Kara-Sztuba Sp.k.
411,Spółdzielnia Grzenia Sp.k.
412,Fyda Sp. z o.o.
413,Spółdzielnia Martynowicz s.c.
414,Andryszczyk i syn s.c.
415,Łusiak i syn s.c.
416,Stowarzyszenie Pietrewicz-Konstanty Sp.k.
417,Szlufik-Gołofit Sp.j.
418,Spółdzielnia Kosowicz-Kapuścik S.A.
419,Maszczyk s.c.
420,Kociemba-Powierża i syn s.c.
421,Fundacja Janic
422,PPUH Męcik
423,Grupa Cieniuch-Stochaj s.c.
424,Gabinety Pedrycz Sp.j.
425,Fundacja Klupś-Szajner Sp.k.
426,Spółdzielnia Bastek-Półchłopek S.A.
427,Poniedziałek S.A.
428,Pych-Tereszkiewicz Sp.k.
429,Plewnia Sp. z o.o.
430,Stowarzyszenie Oczko Sp. z o.o. Sp.k.
431,Bałazy S.A.
432,Fundacja Zawiasa S.A.
433,Gortat-Brodawka i syn s.c.
434,Nagel-Głownia i syn s.c.
435,FPUH Grzywnowicz
436,FPUH Sinkiewicz Sp. z o.o. Sp.k.
437,Spółdzielnia Bilik
438,Korniak-Maligłówka Sp. z o.o. Sp.k.
439,Grupa Wojtyś-Warzybok Sp.j.
440,Czuj i syn s.c.
441,Spółdzielnia Łobacz
442,Spółdzielnia Giel
443,Gabinety Lemke
444,Siemion Sp. z o.o. Sp.k.
445,Fundacja Kupś
446,Gabinety Greszta Sp. z o.o. Sp.k.
447,Sabak Sp.k.
448,Grupa Kocaj Sp.j.
449,Klinger Sp. z o.o.
450,FPUH Domian i syn s.c.
451,Gabinety Wziątek S.A.
452,Gabinety Latuszek s.c.
453,Grupa Wasiuk Sp.j.
454,Opalach S.A.
455,Grupa Radke
456,Burczak-Mszyca Sp. z o.o.
457,Stowarzyszenie Laszuk
458,PPUH Fronia
459,Spółdzielnia Kozaczuk-Garncarz i syn s.c.
460,PPUH Duc s.c.
461,PPUH Bylina-Bazela Sp.j.
462,Steckiewicz Sp.k.
463,Jas-Walenciak Sp. z o.o. Sp.k.
464,Oziębło-Klucznik s.c.
465,Fiedoruk-Krzykała S.A.
466,Spółdzielnia Pakosz Sp.j.
467,Spółdzielnia Lew Sp.j.
468,Fundacja Bienia-Polasik S.A.
469,PPUH Truchan
470,Grupa Nazarko
471,Stowarzyszenie Cogiel-Wojtak Sp.k.
472,PPUH Oleszko Sp. z o.o.
473,Spółdzielnia Kutnik
474,Fundacja Kubowicz-Miszkiel Sp. z o.o.
475,Stowarzyszenie Mzyk-Kopała Sp. z o.o. Sp.k.
476,Stowarzyszenie Zyguła
477,Macias Sp. z o.o. Sp.k.
478,Stowarzyszenie Szmurło Sp. z o.o.
479,Spółdzielnia Rajchel-Schubert Sp.k.
480,Mędrala-Hawrylak i syn s.c.
481,Grupa Rębiś Sp.j.
482,Palica-Płodzień Sp.j.
483,Kulisz Sp.j.
484,Kalota-Gęgotek S.A.
485,Stowarzyszenie Wężyk
486,Fundacja Kukier
487,Holewa-Pacia Sp.j.
488,Fundacja Szramka-Kuczaj Sp. z o.o. Sp.k.
489,PPUH Kornet
490,FPUH Błażejewicz-Zyga s.c.
491,Stowarzyszenie Pasich i syn s.c.
492,Stowarzyszenie Szkopek-Bryda s.c.
493,Lemanowicz-Pik S.A.
494,Gabinety Waloch S.A.
495,Stowarzyszenie Adamaszek
496,Gabinety Kwoka
497,Fiołka-Malecha Sp. z o.o.
498,Grupa Cis-Staśko Sp. z o.o. Sp.k.
499,Grupa Nalazek i syn s.c.
500,Turoń-Musiała i syn s.c.
501,Chadaj i syn s.c.
502,Friedrich S.A.
503,FPUH Lizoń-Wawrzyńczyk Sp. z o.o. Sp.k.
504,Stowarzyszenie Brzykcy-Parzyszek Sp. z o.o.
505,Spółdzielnia Olas
506,Stowarzyszenie Puc
507,Klyszcz S.A.
508,Faryna-Wawrzyńczyk s.c.
509,Grupa Makles
510,Fundacja Kukuczka Sp. z o.o.
511,Gabinety Wiercigroch S.A.
512,PPUH Stosik s.c.
513,Fundacja Jeske-Neugebauer s.c.
514,PPUH Nyc
515,Radko-Kołak Sp. z o.o. Sp.k.
516,Duras Sp. z o.o.
517,FPUH Nalewajek Sp.j.
518,Fundacja Fac Sp. z o.o.
519,FPUH Lindner
520,Stowarzyszenie Kosidło Sp.j.
521,Gabinety Małż S.A.
522,Stowarzyszenie Joszko
523,Fundacja Ryfa i syn s.c.
524,Spółdzielnia Penar Sp.j.
525,Kaczka S.A.
526,Krysik Sp. z o.o.
527,Gabinety Klimko-Szarpak Sp. z o.o. Sp.k.
528,Spółdzielnia Halama
529,Grupa Kwak-Jonak Sp.k.
530,Hadała-Hadała i syn s.c.
531,Zbroszczyk-Wac i syn s.c.
532,Grzenia Sp.k.
533,Sztuczka i syn s.c.
534,FPUH Stachelek Sp. z o.o.
535,Bender-Niećko Sp.k.
536,Grupa Zubowicz i syn s.c.
537,Grupa Gronostaj i syn s.c.
538,Gabinety Blank Sp.j.
539,Stowarzyszenie Skrobot
540,Hermanowicz Sp.j.
541,Szczerek S.A.
542,Pastuła-Dering S.A.
543,Stowarzyszenie Rogula i syn s.c.
544,PPUH Szołtysik Sp. z o.o.
545,Spółdzielnia Glica i syn s.c.
546,Wódka-Pędrak Sp.j.
547,Gabinety Ostapiuk
548,Grupa Wziątek S.A.
549,FPUH Boksa
550,Białasik-Patora i syn s.c.
551,PPUH Nicewicz
552,Fundacja Gołoś-Kansy Sp. z o.o.
553,Pędzik-Śmieja Sp. z o.o.
554,Fundacja Pacholczak Sp.j.
555,Łuc Sp. z o.o.
556,Smorąg Sp.k.
557,Procek-Budych Sp.j.
558,FPUH Kominiak
559,Gabinety Chachuła-Pryszcz S.A.
560,Stowarzyszenie Szmajda
561,Gabinety Grabczak-Kobza i syn s.c.
562,FPUH Dąbal-Doroba Sp. z o.o.
563,Potęga-Sierota s.c.
564,Bałdys-Uryga i syn s.c.
565,FPUH Związek s.c.
566,Stowarzyszenie Tokaj Sp.k.
567,Gabinety Robaszkiewicz
568,Fundacja Dzienniak S.A.
569,Gabinety Śleziak
570,Majak i syn s.c.
571,PPUH Bąbol-Walenciak s.c.
572,Bartuś S.A.
573,Grupa Cholewka s.c.
574,Gabinety Plebanek-Kuczaj Sp. z o.o.
575,FPUH Solarczyk
576,Spółdzielnia Różewicz
577,Skoneczna-Galik S.A.
578,Fundacja Zaniewicz
579,Stowarzyszenie Opas-Gustaw Sp. z o.o. Sp.k.
580,Ciesiółka-Mrozowicz i syn s.c.
581,Grupa Szczot
582,Spółdzielnia Garncarz
583,Piesik-Topa Sp. z o.o.
584,Olszyna Sp. z o.o.
585,Stowarzyszenie Gabryelczyk-Broszkiewicz s.c.
586,Olewniczak-Botor i syn s.c.
587,Gabinety Kozłowicz
588,Fundacja Chorążewicz-Drela Sp. z o.o. Sp.k.
589,FPUH Przekop-Bela Sp. z o.o.
590,Gabinety Majtczak Sp.k.
591,Spółdzielnia Maron-Burdach Sp. z o.o.
592,Dzidek i syn s.c.
593,Kajstura-Sass Sp. z o.o. Sp.k.
594,Stowarzyszenie Sornat Sp.j.
595,Gospodarek Sp. z o.o. Sp.k.
596,Kłoczko i syn s.c.
597,Fundacja Szpyra Sp.j.
598,Spółdzielnia Glapiak
599,Stowarzyszenie Feret-Kurbiel Sp.k.
600,PPUH Tylman
601,Zbróg s.c.
602,PPUH Brodawka
603,Stowarzyszenie Prokopczuk-Sprycha Sp. z o.o. Sp.k.
604,Niklewicz Sp.j.
605,Osojca-Tylka S.A.
606,Sawko Sp.j.
607,Grupa Stąpor i syn s.c.
608,Grupa Flaga
609,Panasewicz i syn s.c.
610,Gabinety Zera
611,Fundacja Frydel
612,Słupik Sp.k.
613,FPUH Dymarczyk
614,Gabinety Hajdukiewicz
615,FPUH Pyszka-Heczko S.A.
616,Gabinety Gieroń
617,Piwowarek Sp. z o.o.
618,FPUH Grochowina Sp.k.
619,Grupa Jędrak s.c.
620,Zimniak-Pośnik Sp.k.
621,Jałowiec-Cięciwa s.c.
622,FPUH Fogt-Łęgowik i syn s.c.
623,Stowarzyszenie Ludwisiak-Macha Sp. z o.o. Sp.k.
624,Litwińczuk i syn s.c.
625,Stowarzyszenie Starościak s.c.
626,Michalkiewicz Sp.k.
627,Miechowicz-Majtyka Sp.k.
628,FPUH Dydak
629,Łukowicz i syn s.c.
630,FPUH Cop
631,Bartoszak-Draus Sp. z o.o.
632,Grupa Komsta Sp. z o.o.
633,PPUH Talaśka-Paździora Sp.j.
634,Spółdzielnia Kunysz-Trzmiel Sp. z o.o. Sp.k.
635,Spółdzielnia Ciepła s.c.
636,Spółdzielnia Pabis
637,Fundacja Kuźnia
638,Gabinety Sondej
639,Bobrowicz Sp. z o.o. Sp.k.
640,Borkiewicz-Szymajda Sp. z o.o.
641,Rolak-Bilik i syn s.c.
642,PPUH Pleban-Wojtalik S.A.
643,FPUH Dudzicz
644,Dyszkiewicz-Kranc S.A.
645,Stowarzyszenie Koloch S.A.
646,Wojtunik-Dziób S.A.
647,Spółdzielnia Swatek
648,Klinkosz-Mordak Sp.k.
649,Ciarka-Rutowicz Sp.j.
650,FPUH Gomoła s.c.
651,Grupa Kuryłowicz-Goik Sp. z o.o.
652,Czerkies s.c.
653,Ciereszko-Barankiewicz Sp. z o.o. Sp.k.
654,PPUH Uliczka-Straszak i syn s.c.
655,Fundacja Szczepaniuk-Saj i syn s.c.
656,Spółdzielnia Tułacz
657,Mamcarz-Potyrała i syn s.c.
658,Stowarzyszenie Szkatuła-Cyman Sp. z o.o.
659,Walasik-Gniewek Sp.j.
660,Fundacja Wawrzynkiewicz s.c.
661,Ruman S.A.
662,Rduch-Dyjach Sp.k.
663,Pachnik-Kaczan s.c.
664,Cis-Dworczak Sp.k.
665,Uliczka-Rochowiak Sp. z o.o.
666,Szymańczyk-Jędraszek i syn s.c.
667,FPUH Cybul Sp. z o.o. Sp.k.
668,Fundacja Brodowicz
669,Stark-Macha Sp.j.
670,Borkiewicz-Tadych Sp. z o.o. Sp.k.
671,Stowarzyszenie Huszcza S.A.
672,Cholewka-Dubel Sp. z o.o.
673,Kapcia S.A.
674,Gabinety Stempel
675,Bylina Sp. z o.o.
676,PPUH Jambor S.A.
677,FPUH Grund Sp. z o.o. Sp.k.
678,PPUH Matejczuk Sp. z o.o.
679,Pyza-Choina S.A.
680,Grupa Kolonko
681,Grupa Browarczyk-Bobko s.c.
682,Fundacja Prażuch
683,Matus Sp. z o.o.
684,Grupa Glapiak-Jaroszuk i syn s.c.
685,Oleksiuk-Madera Sp.j.
686,Cis-Wojaczek S.A.
687,Gabinety Derek Sp. z o.o. Sp.k.
688,Fundacja Frelich Sp.j.
689,Lepa-Betlej Sp.k.
690,Klęczar-Koj S.A.
691,Klepka-Kwinta Sp.k.
692,FPUH Kurbiel Sp. z o.o.
693,Grupa Pieczyrak i syn s.c.
694,Stowarzyszenie Meissner S.A.
695,FPUH Graj-Danilczuk Sp.k.
696,Stowarzyszenie Maciejewicz-Grzeszkowiak Sp. z o.o.
697,Spółdzielnia Palej-Ryguła Sp. z o.o.
698,Fundacja Domoń
699,FPUH Goworek Sp. z o.o. Sp.k.
700,Laszczyk-Makieła Sp. z o.o.
701,Bobik i syn s.c.
702,Stranc Sp. z o.o. Sp.k.
703,Sidorczuk s.c.
704,Fundacja Kanik Sp. z o.o.
705,Gregorowicz-Gołek Sp. z o.o. Sp.k.
706,Gabinety Cisoń-Sass Sp. z o.o.
707,Stempin Sp. z o.o. Sp.k.
708,FPUH Rode Sp.j.
709,Heinrich s.c.
710,Stowarzyszenie Siedlarz i syn s.c.
711,Fiołka Sp.j.
712,Spółdzielnia Buszko Sp. z o.o. Sp.k.
713,PPUH Bittner Sp. z o.o.
714,Gabinety Miętka-Cywka S.A.
715,Smal-Wojtera Sp.j.
716,Grygorowicz s.c.
717,Gabinety Laszczyk
718,Sarosiek-Toś Sp. z o.o.
719,Gabinety Nieścioruk
720,Wyciszkiewicz S.A.
721,Stowarzyszenie Jaźwiec-Jeske Sp.k.
722,Stowarzyszenie Cich
723,Kuciel s.c.
